file,entity_type,name,line_range,purpose,qubits,clbits,is_executable,is_simulated,is_emulated,is_hardware_ready,classification
quantum_hardware/01_block_encoding_demo.py,Function,build_2q_block_encoding,11-32,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,True,True,SIMULATED_CIRCUIT
quantum_hardware/02_qsvt_demo.py,Function,build_2q_qsvt,10-35,Block Encoding / QSVT / Simulation / Test,N/A,0,True,True,True,True,SIMULATED_CIRCUIT
quantum_hardware/03_measurement_demo.py,Function,build_measured_circuit,10-17,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,SIMULATED_CIRCUIT
quantum_hardware/04_small_qlbm_state.py,Function,build_small_qlbm_state,9-20,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,True,False,False,SIMULATED_CIRCUIT
quantum_hardware/05_qae_scalar_demo.py,Function,build_qae_demo,9-21,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,True,False,False,SIMULATED_CIRCUIT
scripts/generate_final_research_benchmarks.py,Function,run_benchmarks,29-162,Block Encoding / QSVT / Simulation / Test,Variable (2-25),Variable,True,False,True,False,CLASSICAL_EMULATION
scripts/run_carleman_study.py,Function,run_carleman_study,27-165,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_block_encoding.py,Class,TestBlockEncoding,17-43,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_block_encoding.py,Function,setUp,18-21,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_block_encoding.py,Function,test_03_qiskit_circuit_operator,38-43,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_dam_break_observables.py,Class,TestDamBreakObservables,15-34,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
tests/test_dam_break_observables.py,Function,setUp,16-17,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_phase6_benchmarks.py,Class,TestPhase6Benchmarks,18-77,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,True,False,CLASSICAL_EMULATION
tests/test_phase6_benchmarks.py,Function,test_03_qsvt_degree_accuracy,58-67,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_phase6_noise_and_budget.py,Class,TestPhase6NoiseAndBudget,15-48,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
tests/test_phase6_noise_and_budget.py,Function,test_01_noise_robustness_threshold,16-30,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_phase6_noise_and_budget.py,Function,test_02_error_budget_monotonicity,32-48,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
tests/test_qsvt.py,Class,TestQSVT,15-35,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_qsvt.py,Function,test_01_polynomial_boundedness,23-29,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_qsvt.py,Function,test_02_circuit_structure,31-35,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_qsvt_condition_spectrum.py,Class,TestQSVTConditionSpectrum,20-49,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,True,False,CLASSICAL_EMULATION
tests/test_qsvt_condition_spectrum.py,Function,test_01_spectrum_bounds_and_inversion,22-49,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,True,False,CLASSICAL_EMULATION
tests/test_quantum_block_encoding_independent.py,Class,TestQuantumBlockEncodingIndependent,17-108,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_block_encoding_independent.py,Function,test_02_independent_dilation_unitarity,38-45,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_block_encoding_independent.py,Function,test_03_exact_block_extraction,47-54,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_block_encoding_independent.py,Function,test_04_padding_subspace_isolation,56-68,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_block_encoding_independent.py,Function,test_05_random_state_action,70-87,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_block_encoding_independent.py,Function,test_06_physical_lifted_dam_break_state_action,89-108,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_resources.py,Class,TestQuantumResources,15-30,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_resources.py,Function,test_01_logarithmic_qubit_scaling,16-23,Block Encoding / QSVT / Simulation / Test,Variable (2-25),0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_resources.py,Function,test_02_circuit_depth_scaling,25-30,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_solver.py,Class,TestQuantumSolver,15-34,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_solver.py,Function,test_01_high_fidelity_solve,24-28,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_quantum_solver.py,Function,test_02_residual_bound,30-34,Block Encoding / QSVT / Simulation / Test,N/A,0,True,False,False,False,ANALYTICAL_BLUEPRINT
tests/test_shot_noise_statistics.py,Class,TestShotNoiseStatistics,18-48,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
tests/test_shot_noise_statistics.py,Function,test_01_sql_scaling_and_r_squared,19-48,Block Encoding / QSVT / Simulation / Test,N/A,Variable,True,True,False,False,ANALYTICAL_BLUEPRINT
