file_path,category,scientific_status,purpose,preserve_reason
OLD_TO_NEW_FILE_MAPPING.csv,Data/Artifact,ACTIVE,Implementation/documentation of OLD_TO_NEW_FILE_MAPPING.csv,Preserved in repository
OLD_vs_NEW_QLBM_FORENSIC_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of OLD_vs_NEW_QLBM_FORENSIC_COMPARISON.md,Preserved in repository
PRODUCTION_STATUS.md,Documentation,ACTIVE,Implementation/documentation of PRODUCTION_STATUS.md,Preserved in repository
QUANTUM_CIRCUITS.md,Documentation,ACTIVE,Implementation/documentation of QUANTUM_CIRCUITS.md,Preserved in repository
README.md,Documentation,ACTIVE,Implementation/documentation of README.md,Preserved in repository
VALIDATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of VALIDATION_REPORT.md,Preserved in repository
backends/__init__.py,Source Code,ACTIVE,Implementation/documentation of __init__.py,Preserved in repository
backends/aer_backend.py,Source Code,ACTIVE,Implementation/documentation of aer_backend.py,Preserved in repository
backends/fake_ibm_backend.py,Source Code,ACTIVE,Implementation/documentation of fake_ibm_backend.py,Preserved in repository
backends/select_backend.py,Source Code,ACTIVE,Implementation/documentation of select_backend.py,Preserved in repository
classical/__init__.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of __init__.py,Classical reference and validation baseline
classical/benchmarks/__init__.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of __init__.py,Classical reference and validation baseline
classical/benchmarks/martin_moyce_data.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of martin_moyce_data.py,Classical reference and validation baseline
classical/boundary.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of boundary.py,Classical reference and validation baseline
classical/d2q9.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of d2q9.py,Classical reference and validation baseline
classical/equilibrium.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of equilibrium.py,Classical reference and validation baseline
classical/level4_two_phase.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of level4_two_phase.py,Classical reference and validation baseline
classical/reference_solver.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of reference_solver.py,Classical reference and validation baseline
classical/streaming.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of streaming.py,Classical reference and validation baseline
classical/two_phase.py,Source Code,ACTIVE REFERENCE,Implementation/documentation of two_phase.py,Classical reference and validation baseline
config.py,Source Code,ACTIVE,Implementation/documentation of config.py,Preserved in repository
conftest.py,Source Code,ACTIVE,Implementation/documentation of conftest.py,Preserved in repository
docs/DIRECT_ENCODING_BASELINE_FREEZE.md,Documentation,ACTIVE,Implementation/documentation of DIRECT_ENCODING_BASELINE_FREEZE.md,Preserved in repository
docs/F21_FORENSIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F21_FORENSIC_AUDIT.md,Preserved in repository
docs/F22_CHANNEL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F22_CHANNEL_VALIDATION.md,Preserved in repository
docs/F23_FULL_QUANTUM_LBM_EQUIVALENCE.md,Documentation,ACTIVE,Implementation/documentation of F23_FULL_QUANTUM_LBM_EQUIVALENCE.md,Preserved in repository
docs/F24_QUANTUM_CHANNEL_IMPLEMENTATION_FORENSICS.md,Documentation,ACTIVE,Implementation/documentation of F24_QUANTUM_CHANNEL_IMPLEMENTATION_FORENSICS.md,Preserved in repository
docs/F25_GATE_LEVEL_BGK_CSF_FEASIBILITY.md,Documentation,ACTIVE,Implementation/documentation of F25_GATE_LEVEL_BGK_CSF_FEASIBILITY.md,Preserved in repository
docs/F26_RESOURCE_OPTIMIZED_TWO_PHASE_QLBM.md,Documentation,ACTIVE,Implementation/documentation of F26_RESOURCE_OPTIMIZED_TWO_PHASE_QLBM.md,Preserved in repository
docs/F27_ENVIRONMENT_SEMANTICS.md,Documentation,ACTIVE,Implementation/documentation of F27_ENVIRONMENT_SEMANTICS.md,Preserved in repository
docs/F27_GATE_LEVEL_LOCAL_CIRCUIT_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F27_GATE_LEVEL_LOCAL_CIRCUIT_VALIDATION.md,Preserved in repository
docs/F27_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F27_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F27_REGISTER_SPECIFICATION.md,Documentation,ACTIVE,Implementation/documentation of F27_REGISTER_SPECIFICATION.md,Preserved in repository
docs/F28_2X2_CIRCUIT_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of F28_2X2_CIRCUIT_ARCHITECTURE.md,Preserved in repository
docs/F28_END_TO_END_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F28_END_TO_END_VALIDATION.md,Preserved in repository
docs/F28_ENVIRONMENT_REUSE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F28_ENVIRONMENT_REUSE_AUDIT.md,Preserved in repository
docs/F28_F27_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F28_F27_CLAIM_AUDIT.md,Preserved in repository
docs/F29_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F29_CLAIM_AUDIT.md,Preserved in repository
docs/F29_END_TO_END_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F29_END_TO_END_VALIDATION.md,Preserved in repository
docs/F29_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F29_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F29_REGISTER_SPECIFICATION.md,Documentation,ACTIVE,Implementation/documentation of F29_REGISTER_SPECIFICATION.md,Preserved in repository
docs/F30_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F30_AUTONOMY_AUDIT.md,Preserved in repository
docs/F30_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F30_CLAIM_AUDIT.md,Preserved in repository
docs/F30_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F30_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F30_SCALING_RESOURCE_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F30_SCALING_RESOURCE_VALIDATION.md,Preserved in repository
docs/F31_ARITHMETIC_OPTIMIZATION.md,Documentation,ACTIVE,Implementation/documentation of F31_ARITHMETIC_OPTIMIZATION.md,Preserved in repository
docs/F31_AUTONOMY_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F31_AUTONOMY_AUDIT.md,Preserved in repository
docs/F31_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F31_CLAIM_AUDIT.md,Preserved in repository
docs/F31_ENVIRONMENT_COMPRESSION.md,Documentation,ACTIVE,Implementation/documentation of F31_ENVIRONMENT_COMPRESSION.md,Preserved in repository
docs/F31_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F31_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F31_RESOURCE_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of F31_RESOURCE_COMPARISON.md,Preserved in repository
docs/F31_RESOURCE_REDUCTION_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F31_RESOURCE_REDUCTION_VALIDATION.md,Preserved in repository
docs/F31_WORKSPACE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F31_WORKSPACE_AUDIT.md,Preserved in repository
docs/F33_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F33_CLAIM_AUDIT.md,Preserved in repository
docs/F33_FINAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F33_FINAL_VALIDATION.md,Preserved in repository
docs/F33_HARDWARE_PARAMETER_SET.md,Documentation,ACTIVE,Implementation/documentation of F33_HARDWARE_PARAMETER_SET.md,Preserved in repository
docs/F33_HARDWARE_TARGET.md,Documentation,ACTIVE,Implementation/documentation of F33_HARDWARE_TARGET.md,Preserved in repository
docs/F33_MULTI_TIMESTEP.md,Documentation,ACTIVE,Implementation/documentation of F33_MULTI_TIMESTEP.md,Preserved in repository
docs/F33_NOISE_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F33_NOISE_VALIDATION.md,Preserved in repository
docs/F33_OBSERVABLE_EXTRACTION.md,Documentation,ACTIVE,Implementation/documentation of F33_OBSERVABLE_EXTRACTION.md,Preserved in repository
docs/F33_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F33_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F33_QPU_EXECUTION.md,Documentation,ACTIVE,Implementation/documentation of F33_QPU_EXECUTION.md,Preserved in repository
docs/F33_STATE_PREPARATION.md,Documentation,ACTIVE,Implementation/documentation of F33_STATE_PREPARATION.md,Preserved in repository
docs/F33_TRANSPILATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of F33_TRANSPILATION_REPORT.md,Preserved in repository
docs/F34_BACKEND_SELECTION.md,Documentation,ACTIVE,Implementation/documentation of F34_BACKEND_SELECTION.md,Preserved in repository
docs/F34_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F34_CLAIM_AUDIT.md,Preserved in repository
docs/F34_CLASSICAL_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of F34_CLASSICAL_COMPARISON.md,Preserved in repository
docs/F34_FINAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F34_FINAL_VALIDATION.md,Preserved in repository
docs/F34_HARDWARE_EXECUTION.md,Documentation,ACTIVE,Implementation/documentation of F34_HARDWARE_EXECUTION.md,Preserved in repository
docs/F34_MEASUREMENT.md,Documentation,ACTIVE,Implementation/documentation of F34_MEASUREMENT.md,Preserved in repository
docs/F34_MULTI_TIMESTEP.md,Documentation,ACTIVE,Implementation/documentation of F34_MULTI_TIMESTEP.md,Preserved in repository
docs/F34_NOISE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of F34_NOISE_ANALYSIS.md,Preserved in repository
docs/F34_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F34_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F34_QPU_RESULTS.md,Documentation,ACTIVE,Implementation/documentation of F34_QPU_RESULTS.md,Preserved in repository
docs/F34_STATE_PREPARATION.md,Documentation,ACTIVE,Implementation/documentation of F34_STATE_PREPARATION.md,Preserved in repository
docs/F34_TRANSPILATION.md,Documentation,ACTIVE,Implementation/documentation of F34_TRANSPILATION.md,Preserved in repository
docs/F35_BACKEND_DISCOVERY.md,Documentation,ACTIVE,Implementation/documentation of F35_BACKEND_DISCOVERY.md,Preserved in repository
docs/F35_CIRCUIT_INTEGRITY.md,Documentation,ACTIVE,Implementation/documentation of F35_CIRCUIT_INTEGRITY.md,Preserved in repository
docs/F35_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F35_CLAIM_AUDIT.md,Preserved in repository
docs/F35_FINAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F35_FINAL_VALIDATION.md,Preserved in repository
docs/F35_NOISE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of F35_NOISE_ANALYSIS.md,Preserved in repository
docs/F35_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F35_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F35_PROVIDER_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F35_PROVIDER_AUDIT.md,Preserved in repository
docs/F35_SAFETY_GUARD.md,Documentation,ACTIVE,Implementation/documentation of F35_SAFETY_GUARD.md,Preserved in repository
docs/F36_BACKEND_DISCOVERY.md,Documentation,ACTIVE,Implementation/documentation of F36_BACKEND_DISCOVERY.md,Preserved in repository
docs/F36_CIRCUIT_INTEGRITY.md,Documentation,ACTIVE,Implementation/documentation of F36_CIRCUIT_INTEGRITY.md,Preserved in repository
docs/F36_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F36_CLAIM_AUDIT.md,Preserved in repository
docs/F36_FINAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F36_FINAL_VALIDATION.md,Preserved in repository
docs/F36_NOISE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of F36_NOISE_ANALYSIS.md,Preserved in repository
docs/F36_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F36_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F36_PROVIDER_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F36_PROVIDER_AUDIT.md,Preserved in repository
docs/F36_SAFETY_GUARD.md,Documentation,ACTIVE,Implementation/documentation of F36_SAFETY_GUARD.md,Preserved in repository
docs/F37_BACKEND_DISCOVERY.md,Documentation,ACTIVE,Implementation/documentation of F37_BACKEND_DISCOVERY.md,Preserved in repository
docs/F37_CIRCUIT_INTEGRITY.md,Documentation,ACTIVE,Implementation/documentation of F37_CIRCUIT_INTEGRITY.md,Preserved in repository
docs/F37_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F37_CLAIM_AUDIT.md,Preserved in repository
docs/F37_FINAL_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F37_FINAL_VALIDATION.md,Preserved in repository
docs/F37_IBM_ACCESS_GUIDE.md,Documentation,ACTIVE,Implementation/documentation of F37_IBM_ACCESS_GUIDE.md,Preserved in repository
docs/F37_NOISE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of F37_NOISE_ANALYSIS.md,Preserved in repository
docs/F37_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F37_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F37_SAFETY_GUARD.md,Documentation,ACTIVE,Implementation/documentation of F37_SAFETY_GUARD.md,Preserved in repository
docs/F38_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F38_CLAIM_AUDIT.md,Preserved in repository
docs/F38_PREIMPLEMENTATION_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of F38_PREIMPLEMENTATION_AUDIT.md,Preserved in repository
docs/F38_REAL_QPU_VALIDATION.md,Documentation,ACTIVE,Implementation/documentation of F38_REAL_QPU_VALIDATION.md,Preserved in repository
docs/LEVEL_5_AUDIT_LEVEL4_REDERIVATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_AUDIT_LEVEL4_REDERIVATION.md,Preserved in repository
docs/LEVEL_5_CARLEMAN_DESIGN.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_CARLEMAN_DESIGN.md,Preserved in repository
docs/LEVEL_5_COUPLED_NONLINEAR_FORMULATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_COUPLED_NONLINEAR_FORMULATION.md,Preserved in repository
docs/LEVEL_5_COUPLED_STATE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_COUPLED_STATE.md,Preserved in repository
docs/LEVEL_5_EXISTING_TWO_PHASE_MODEL.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_EXISTING_TWO_PHASE_MODEL.md,Preserved in repository
docs/LEVEL_5_GLOBAL_LINEAR_SYSTEM.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_5_GLOBAL_LINEAR_SYSTEM.md,Preserved in repository
docs/LEVEL_6A_IMPLEMENTATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_IMPLEMENTATION_REPORT.md,Preserved in repository
docs/LEVEL_6A_MATHEMATICAL_DERIVATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_MATHEMATICAL_DERIVATION.md,Preserved in repository
docs/LEVEL_6A_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_RESOURCE_ANALYSIS.md,Preserved in repository
docs/LEVEL_6A_R_ARCHITECTURE_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_ARCHITECTURE_COMPARISON.md,Preserved in repository
docs/LEVEL_6A_R_BLOCK_ENCODING_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_BLOCK_ENCODING_ANALYSIS.md,Preserved in repository
docs/LEVEL_6A_R_DECISION_GATE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_DECISION_GATE.md,Preserved in repository
docs/LEVEL_6A_R_MATHEMATICAL_RESOLUTION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_MATHEMATICAL_RESOLUTION.md,Preserved in repository
docs/LEVEL_6A_R_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_RESOURCE_ANALYSIS.md,Preserved in repository
docs/LEVEL_6A_R_STREAMING_DERIVATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_R_STREAMING_DERIVATION.md,Preserved in repository
docs/LEVEL_6A_STABILITY_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6A_STABILITY_ANALYSIS.md,Preserved in repository
docs/LEVEL_6B_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_ARCHITECTURE.md,Preserved in repository
docs/LEVEL_6B_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_CLAIM_AUDIT.md,Preserved in repository
docs/LEVEL_6B_ERROR_BUDGET.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_ERROR_BUDGET.md,Preserved in repository
docs/LEVEL_6B_ERROR_ORIGIN_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_ERROR_ORIGIN_ANALYSIS.md,Preserved in repository
docs/LEVEL_6B_FINAL_RESEARCH_DIARY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_FINAL_RESEARCH_DIARY.md,Preserved in repository
docs/LEVEL_6B_FINAL_SCIENTIFIC_STATUS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_FINAL_SCIENTIFIC_STATUS.md,Preserved in repository
docs/LEVEL_6B_HARDWARE_READINESS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_HARDWARE_READINESS.md,Preserved in repository
docs/LEVEL_6B_IMPLEMENTATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_IMPLEMENTATION_REPORT.md,Preserved in repository
docs/LEVEL_6B_LIMITATIONS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_LIMITATIONS.md,Preserved in repository
docs/LEVEL_6B_MATHEMATICAL_FORMULATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_MATHEMATICAL_FORMULATION.md,Preserved in repository
docs/LEVEL_6B_PROFESSOR_SUMMARY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_PROFESSOR_SUMMARY.md,Preserved in repository
docs/LEVEL_6B_QUANTUM_CLASSICAL_INTERFACE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_QUANTUM_CLASSICAL_INTERFACE.md,Preserved in repository
docs/LEVEL_6B_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_RESOURCE_ANALYSIS.md,Preserved in repository
docs/LEVEL_6B_SCIENTIFIC_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_SCIENTIFIC_AUDIT.md,Preserved in repository
docs/LEVEL_6B_VALIDATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6B_VALIDATION_REPORT.md,Preserved in repository
docs/LEVEL_6_ARCHITECTURE_COMPARISON.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_ARCHITECTURE_COMPARISON.md,Preserved in repository
docs/LEVEL_6_BASELINE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_BASELINE_AUDIT.md,Preserved in repository
docs/LEVEL_6_ERROR_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_ERROR_ANALYSIS.md,Preserved in repository
docs/LEVEL_6_EXACT_LEVEL4_DEPENDENCY_GRAPH.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_EXACT_LEVEL4_DEPENDENCY_GRAPH.md,Preserved in repository
docs/LEVEL_6_GLOBAL_QSVT_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_GLOBAL_QSVT_ARCHITECTURE.md,Preserved in repository
docs/LEVEL_6_HQC_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_HQC_ARCHITECTURE.md,Preserved in repository
docs/LEVEL_6_IMPLEMENTATION_PLAN.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_IMPLEMENTATION_PLAN.md,Preserved in repository
docs/LEVEL_6_LITERATURE_NOVELTY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_LITERATURE_NOVELTY.md,Preserved in repository
docs/LEVEL_6_LOCAL_CARLEMAN_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_LOCAL_CARLEMAN_ARCHITECTURE.md,Preserved in repository
docs/LEVEL_6_MULTITIMESTEP_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_MULTITIMESTEP_ANALYSIS.md,Preserved in repository
docs/LEVEL_6_POLYNOMIALIZATION_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_POLYNOMIALIZATION_ANALYSIS.md,Preserved in repository
docs/LEVEL_6_RESOURCE_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_RESOURCE_ANALYSIS.md,Preserved in repository
docs/LEVEL_6_SCIENTIFIC_INTEGRITY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_SCIENTIFIC_INTEGRITY.md,Preserved in repository
docs/LEVEL_6_SURFACE_TENSION_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_SURFACE_TENSION_ANALYSIS.md,Preserved in repository
docs/LEVEL_6_TARGET_ARCHITECTURE.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_6_TARGET_ARCHITECTURE.md,Preserved in repository
docs/LEVEL_7_ADVISOR_READY_SUMMARY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_ADVISOR_READY_SUMMARY.md,Preserved in repository
docs/LEVEL_7_ADVISOR_SUMMARY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_ADVISOR_SUMMARY.md,Preserved in repository
docs/LEVEL_7_ARCHITECTURE_CANDIDATES.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_ARCHITECTURE_CANDIDATES.md,Preserved in repository
docs/LEVEL_7_ARCHITECTURE_DECISION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_ARCHITECTURE_DECISION.md,Preserved in repository
docs/LEVEL_7_BLOCK_ENCODING_COMPOSITION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_BLOCK_ENCODING_COMPOSITION.md,Preserved in repository
docs/LEVEL_7_COHERENCE_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_COHERENCE_CLAIM_AUDIT.md,Preserved in repository
docs/LEVEL_7_COHERENT_STREAMING.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_COHERENT_STREAMING.md,Preserved in repository
docs/LEVEL_7_CSF_ANALYSIS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_CSF_ANALYSIS.md,Preserved in repository
docs/LEVEL_7_FINAL_CLAIM_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_CLAIM_AUDIT.md,Preserved in repository
docs/LEVEL_7_FINAL_CLAIM_MATRIX.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_CLAIM_MATRIX.md,Preserved in repository
docs/LEVEL_7_FINAL_CLAIM_MATRIX_HARDENED.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_CLAIM_MATRIX_HARDENED.md,Preserved in repository
docs/LEVEL_7_FINAL_HARDENING_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_HARDENING_AUDIT.md,Preserved in repository
docs/LEVEL_7_FINAL_LITERATURE_AUDIT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_LITERATURE_AUDIT.md,Preserved in repository
docs/LEVEL_7_FINAL_RESEARCH_POSITION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_RESEARCH_POSITION.md,Preserved in repository
docs/LEVEL_7_FINAL_SCIENTIFIC_STATUS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_SCIENTIFIC_STATUS.md,Preserved in repository
docs/LEVEL_7_FINAL_THESIS_DEFENSE_STATUS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_FINAL_THESIS_DEFENSE_STATUS.md,Preserved in repository
docs/LEVEL_7_IMPLEMENTATION_REPORT.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_IMPLEMENTATION_REPORT.md,Preserved in repository
docs/LEVEL_7_LEVEL8_DECISION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_LEVEL8_DECISION.md,Preserved in repository
docs/LEVEL_7_LIMITATIONS.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_LIMITATIONS.md,Preserved in repository
docs/LEVEL_7_LITERATURE_NOVELTY.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_LITERATURE_NOVELTY.md,Preserved in repository
docs/LEVEL_7_MATHEMATICAL_INVESTIGATION.md,Documentation,ACTIVE,Implementation/documentation of LEVEL_7_MATHEMATICAL_INVESTIGATION.md,Preserved in repository
